id,name,create_at
1,莎士雷可,1542809125
2,俄式面包烘培,1542809125
3,汤品,1542809125
4,沙拉类,1542809125
5,开胃头盘类,1542809125
6,主菜,1542809125
7,佐餐蔬菜,1542809125
8,主食,1542809125
9,俄式大薄饼披萨,1542809125
10,餐后甜品,1542809125
11,轻食,1542809125
12,乌冬面,1542809126
13,日式丼,1542809126
14,经典咖喱,1542809126
15,超值套餐,1542809126
16,天妇罗,1542809126
17,精美小食,1542809126
18,饭团寿司,1542809126
19,饮料,1542809126
20,水果沙拉,1542809126
21,单果鲜切,1542809126
22,果切拼盘,1542809126
23,送礼果篮，礼盒,1542809126
24,苹果香蕉梨,1542809126
25,平安果系列,1542809126
26,商务套餐系列,1542809126
27,葡提桨果,1542809126
28,芒橙柑桔柚,1542809126
29,樱桃 荔枝 葡提拼盘,1542809126
30,鲜切六拼,1542809126
31,鲜切四拼,1542809126
32,鲜果单切,1542809126
33,鲜切五拼,1542809126
34,小零食,1542809126
35,单品汉堡,1542809126
36,套餐汉堡,1542809126
37,甜点小吃,1542809126
38,饮品系列,1542809126
39,超人气组合餐,1542809126
40,超人气组合套餐,1542809126
41,甜品小吃,1542809126
42,找醇茶,1542809128
43,找好茶,1542809128
44,找奶茶,1542809128
45,找口感,1542809128
46,找鲜奶,1542809128
47,找新鲜,1542809128
48,锅底类,1542809128
49,锅具类,1542809128
50,网红必选小料,1542809128
51,小料类,1542809128
52,牛羊肉类,1542809128
53,特色菜类,1542809128
54,经典火锅菜类,1542809128
55,丸滑类,1542809128
56,海鲜/河鲜类,1542809128
57,根茎与菌类,1542809128
58,豆制品类,1542809128
59,叶菜类,1542809128
60,小吃类,1542809128
61,饮品类,1542809128
